

RELABLING WITH IVS - 08/06/2020 22:24:15
-----------------Makuhita, 2020-01-11, MapleGlen, _PA, 15-13-15
Makuhita, 2019-09-18, Pittsburgh, _Pitt, 13-14-13
Makuhita, 2019-09-18, Pittsburgh, _Pitt, 13-14-13
Hariyama, 2020-05-16, NorthWildwood, _NJ, 14-14-15
Nosepass, 2020-05-15, Wildwood, _NJ, 13-14-12
Skitty, 2019-09-11, Pittsburgh, _Pitt, 13-15-12
Delcatty, 2019-10-10, Pittsburgh, _Pitt, 12-14-13
Delcatty, 2019-11-10, Pittsburgh, _Pitt, 12-15-11
Sableye, 2019-10-21, Pittsburgh, _Pitt, 14-14-15
Sableye, 2019-10-21, Pittsburgh, _Pitt, 14-14-15
Mawile, 2019-12-08, Pittsburgh, _Pitt, 13-14-11
Aggron, 2019-09-03, Pittsburgh, _Pitt, 13-13-14
Medicham, 2019-09-05, Pittsburgh, _Pitt, 15-13-14
Medicham, 2019-09-05, Pittsburgh, _Pitt, 15-13-14
Electrike, 2019-12-15, Pittsburgh, _Pitt, 15-15-12
Manectric, 2020-05-16, NorthWildwood, _NJ, 14-11-14
Gulpin, 2020-05-17, MiddleTownship, _NJ, 11-15-13
Sharpedo, 2019-08-29, Pittsburgh, _Pitt, 13-15-15
Wailmer, 2020-01-27, Ambler, _Fort, 15-14-12
Wailmer, 2019-08-10, Washington, _WA, 12-14-15
Numel, 2020-05-20, FortWashington, _Fort, 12-14-14
Numel, 2020-01-23, Philadelphia, _Phila, 14-14-13
Numel, 2020-01-23, Philadelphia, _Phila, 14-14-13
Camerupt, 2020-05-16, NorthWildwood, _NJ, 15-13-12
Spoink, 2019-09-10, Pittsbu, _N/A, 4-4-4
Grumpig, 2019-11-20, Pittsburgh, _Pitt, 12-14-13
Spinda, 2019-09-03, Pittsburgh, _Pitt, 15-15-12
Trapinch, 2019-10-12, FortWashington, _Fort, 14-15-15
Trapinch, 2019-10-12, Pittsburgh, _Pitt, 12-13-13
Trapinch, 2019-10-12, Pittsburgh, _Pitt, 13-13-15
Flygon, 2019-10-12, Pittsburgh, _Pitt, 14-15-14
Flygon, 2019-10-12, Pittsburgh, _Pitt, 14-15-14
Cacturne, 2019-09-01, Longport, _NJ, 10-14-15
Swablu, 2020-01-27, Philadelphia, _Phila, 14-11-12
Swablu, 2019-09-11, Pittsburgh, _Pitt, 13-15-13
Swablu, 2020-01-06, FortWashington, _Fort, 12-15-14
Swablu, 2020-01-06, FortWashington, _Fort, 12-15-14
Swablu, 2019-09-09, Pittsburgh, _Pitt, 12-14-15
Seviper, 2019-11-19, Pittsburgh, _Pitt, 10-13-15
Barboach, 2019-09-19, Pittsburgh, _Pitt, 5-5-5
Whiscash, 2019-08-28, Pittsburgh, _Pitt, 13-13-13
Corphish, 2019-08-24, Pittsburgh, _Pitt, 13-15-11
Baltoy, 2020-02-14, NewYork, _NY, 15-13-11
Baltoy, 2019-09-27, Pittsburgh, _Pitt, 11-12-15
Claydol, 2020-05-17, Oreland, _Fort, 14-12-11
Anorith, 2020-01-19, Philadelphia, _Phila, 13-15-15
Anorith, 2020-01-19, Philadelphia, _Phila, 13-15-15
Feebas, 2020-05-10, Dresher, _Fort, 15-12-14
Milotic, 2020-05-25, Philadelphia, _Phila, 14-12-13
Castform, 2019-08-30, Harrisonville, _PA, 13-15-12
Absol, 2020-05-17, NorthWildwood, _NJ, 15-15-14
Snorunt, 2019-10-07, Pittsburgh, _Pitt, 15-12-10
Snorunt, 2019-09-12, Pittsburgh, _Pitt, 11-12-15
Spheal, 2019-12-04, Pittsburgh, _Pitt, 12-13-14
Sealeo, 2019-09-20, Pittsburgh, _Pitt, 9-14-14
Clamperl, 2020-06-01, Wildwood, _NJ, 13-11-14
Clamperl, 2020-05-17, Oreland, _Fort, 14-15-11
Clamperl, 2019-08-29, Pittsburgh, _Pitt, 12-13-12
Bagon, 2020-05-16, Wildwood, _NJ, 12-14-14
Metagross, 2019-08-23, Somerville, _MA, 15-11-15
Metagross, 2020-05-11, Oreland, _Fort, 11-12-14
Latias, 2019-08-31, NorthWildwood, _NJ, 15-12-11
Kyogre, 2019-12-06, Pittsburgh, _Pitt, 14-13-15
Kyogre, 2019-11-03, Pittsburgh, _Pitt, 12-13-14
Deoxys, 2019-09-10, Pittsburgh, _Pitt, 15-10-12
Turtwig, 2020-01-01, Oreland, _Fort, 11-15-13
Turtwig, 2020-02-12, FortWashington, _Fort, 10-14-15
Grotle, 2020-05-24, Oreland, _Fort, 13-10-15
Chimchar, 2020-05-23, FortWashington, _Fort, 15-13-15
Chimchar, 2020-02-10, Philadelphia, _Phila, 14-13-13
Monferno, 2020-05-24, Ambler, _Fort, 13-12-12
Monferno, 2020-05-24, Ambler, _Fort, 13-12-12
Piplup, 2020-01-19, Ambler, _Fort, 11-15-14
Piplup, 2020-02-09, FortWashington, _Fort, 14-13-11
Prinplup, 2020-01-19, FortWashington, _Fort, 14-11-12
Prinplup, 2020-01-22, Ambler, _Fort, 13-13-11
Empoleon, 2020-01-19, FortWashington, _Fort, 13-12-12
Empoleon, 2020-01-19, FortWashington, _Fort, 13-12-12
Empoleon, 2020-01-19, FortWashington, _Fort, 14-12-14
Bibarel, 2019-08-28, Pittsburgh, _Pitt, 14-15-14
Bibarel, 2019-08-28, Pittsburgh, _Pitt, 14-15-14
Kricketot, 2020-02-09, FortWashington, _Fort, 11-13-14
Shinx, 2019-09-06, Pittsburgh, _Pitt, 14-15-12
Shinx, 2020-05-10, Philadelphia, _Phila, 14-13-14
